"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_0",0.846821719106636,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_1",0.887290783163496,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","deus, vida, vou, pessoas, onde, verdade, família, lá, tudo, deus coração"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_2",0.983015281316009,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","governador, barbalho, caixa, imposto, paraná, prezado, aqui, estado, todos, amigos"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_3",0.967867054596541,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","todos, minas gerais, gerais, tarcísio, minas, brasil, aqui, obviamente, estado, satisfação"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_4",0.913133655758403,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","exército, comandante, comandante exército, general, exército brasileiro, militar, pujol, senhores, forças, generais"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_5",0.874477846690578,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","cada, hoje, caiado, todos, paulo guedes, guedes, outro, liberdade, brasil hoje, dia"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_6",0.88013389900918,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","direitos, brasil, cubano, nações, deus, humanos, cubana, imprensa, nações unidas, unidas"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_7",0.942501876881196,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","tereza cristina, cristina, tereza, questão, inmetro, agricultura, então, coisa, verdade, passado"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_8",0.811476760389358,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","sacrifício própria, própria vida, servidor, vida, própria, forças, cadetes, 19 93, recebeu 19, servidores"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_9",0.948671231475433,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","mercosul, bloco, senhoras senhores, josé múcio, múcio, josé, senhoras, acordos, reformas, mario abdo"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_10",0.678909659091454,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","piauí, mão santa, povo, parnaíba, tudo, brasil povo, grande, acima, nordeste, brasil"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_11",0.947825439033756,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","toffoli, dias toffoli, levi, jorge, prezado dias, excelência, sentido, vossa excelência, noronha, prezado"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_12",0.949073345175683,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","questão, terno, gente, lá, jorge seif, seif, jorge, então, informação, caiado"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_13",0.988001784998411,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ceagesp, moretti, 2018, sergipe, vida, bem, lado, bala, obviamente, sempre"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_14",0.864930034929791,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","amazônia, governador, república jair, estado, governadores, sr, jair bolsonaro, presidente, fundo amazônia, então"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_15",0.892010264640019,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","decreto, fraga, arma, lupion, armas, defesa, peninha, senhor ministro, arma fogo, confiar"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_16",0.747700409113896,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","aeronáutica, aérea brasileira, aérea, força aérea, força, israel, comandante, comandante aeronáutica, alícia, prestam"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_17",0.65646534167489,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","brics, cooperação, empresarial, sociedades, temas, ndb, intervenções, inovação, vladimir putin, vladimir"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_18",0.6695239606661,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","marajó, damares, médicos, cubano, revalida, irmãos marajó, internet, pouco, carreiro, programa médicos"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_19",0.736381563507128,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","educação física, esporte, física, marcelo, preparo, preparo físico, veleiro, flávio rocha, exército, físico"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_20",0.638210130521464,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","renan, médico, vacina, flávia arruda, renan calheiros, flávia, titular, arruda, calheiros, pessoas"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_21",0.95050395169172,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","moro, sergio moro, sergio, difícil parte, agressão, criar meios, rosângela, abriu mão, prezado sergio, esposas"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_22",0.906950431918603,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","pacheco, éder mauro, valentina, revolucionando, zequinha marinho, éder, agências, telefone, zequinha, obrigado"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_23",0.94614374598842,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","fórmula, chase, senhor chase, jornalista, carey, senhor, piñera, guaidó, chase carey, presidente"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_24",0.977202792951327,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","furlan, têm brasília, cunha lima, pandemia, grande, cunha, geraldo melo, aqui cima, cinquenta bilhões, vai meio"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_25",0.951060556443615,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","skaf, baleia, paulo skaf, prova, aspirantes, lembro, villas boas, ensino, paulo, justiça andré"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_26",0.9963379848268,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","pessoas falam, voz, instituto rio, formandos instituto, centenas, decisivos, trabalhem, sítio, minério, rio branco"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_27",0.726093207231604,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","icms, tá, cobra, preço, refinaria, km, fruticultura, cobrar icms, combustível, basta"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_28",0.826340790916963,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","paraguai, itaipu, cabo verde, binacional, brasil paraguai, itaipu binacional, presidente paraguai, visita, cabo, guiné"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_29",0.909206279840913,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","guerson, gente, centavos, paulo guedes, guedes, petrobras, pix, cara, paulo, tcu"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_30",0.940499945106511,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ceará, iris, quero ir, caiado, aqui ceará, roraima, nesse estado, quero citar, deseducado, ninguém deseducado"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_31",0.899136558951363,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","italiana, origem italiana, protocolo pessoa, atlântico, pessoa importante, paraquedistas, paraquedista, joão pereira, brigada, senhor joão"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_32",0.76000387060795,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","colégio, colégio militar, professora, abril, escolas, escola, tá, militar, aluno, militares"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_33",0.986920183260417,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","abraham, educação, atender necessitados, regionais, planos, aprender coisas, regiões planos, cabeça branca, vilarejo, espera abraham"
"milei_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_34",0.996803564190971,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","fausto, bb, daqui paulo, diesel, ida volta, endividou, cachorro quente, tá caro, vender cachorro, bb antecipa"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_0",0.987015254274261,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_1",0.890224581116329,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","deus, vida, vou, pessoas, onde, verdade, família, lá, tudo, deus coração"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_2",0.897357970826463,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","governador, barbalho, caixa, imposto, paraná, prezado, aqui, estado, todos, amigos"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_3",0.82397851805828,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","todos, minas gerais, gerais, tarcísio, minas, brasil, aqui, obviamente, estado, satisfação"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_4",0.976083311695031,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","exército, comandante, comandante exército, general, exército brasileiro, militar, pujol, senhores, forças, generais"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_5",0.976282770264501,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","cada, hoje, caiado, todos, paulo guedes, guedes, outro, liberdade, brasil hoje, dia"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_6",0.97769093892031,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","direitos, brasil, cubano, nações, deus, humanos, cubana, imprensa, nações unidas, unidas"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_7",0.852639951627936,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","tereza cristina, cristina, tereza, questão, inmetro, agricultura, então, coisa, verdade, passado"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_8",0.956848730716102,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","sacrifício própria, própria vida, servidor, vida, própria, forças, cadetes, 19 93, recebeu 19, servidores"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_9",0.922330601418525,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","mercosul, bloco, senhoras senhores, josé múcio, múcio, josé, senhoras, acordos, reformas, mario abdo"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_10",0.948415976488958,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","piauí, mão santa, povo, parnaíba, tudo, brasil povo, grande, acima, nordeste, brasil"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_11",0.743177597498218,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","toffoli, dias toffoli, levi, jorge, prezado dias, excelência, sentido, vossa excelência, noronha, prezado"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_12",0.924905436770156,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","questão, terno, gente, lá, jorge seif, seif, jorge, então, informação, caiado"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_13",0.862652224965411,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","ceagesp, moretti, 2018, sergipe, vida, bem, lado, bala, obviamente, sempre"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_14",0.926960507951904,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","amazônia, governador, república jair, estado, governadores, sr, jair bolsonaro, presidente, fundo amazônia, então"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_15",0.959274627543013,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","decreto, fraga, arma, lupion, armas, defesa, peninha, senhor ministro, arma fogo, confiar"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_16",0.972370773525231,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","aeronáutica, aérea brasileira, aérea, força aérea, força, israel, comandante, comandante aeronáutica, alícia, prestam"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_17",0.944264254278451,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","brics, cooperação, empresarial, sociedades, temas, ndb, intervenções, inovação, vladimir putin, vladimir"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_18",0.940981720341276,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","marajó, damares, médicos, cubano, revalida, irmãos marajó, internet, pouco, carreiro, programa médicos"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_19",0.945925729276692,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","educação física, esporte, física, marcelo, preparo, preparo físico, veleiro, flávio rocha, exército, físico"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_20",0.915942919179829,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","renan, médico, vacina, flávia arruda, renan calheiros, flávia, titular, arruda, calheiros, pessoas"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_21",0.932825780315602,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","moro, sergio moro, sergio, difícil parte, agressão, criar meios, rosângela, abriu mão, prezado sergio, esposas"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_22",0.954221904680419,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","pacheco, éder mauro, valentina, revolucionando, zequinha marinho, éder, agências, telefone, zequinha, obrigado"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_23",0.854594479421584,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","fórmula, chase, senhor chase, jornalista, carey, senhor, piñera, guaidó, chase carey, presidente"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_24",0.857723822080589,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","furlan, têm brasília, cunha lima, pandemia, grande, cunha, geraldo melo, aqui cima, cinquenta bilhões, vai meio"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_25",0.946633215804237,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","skaf, baleia, paulo skaf, prova, aspirantes, lembro, villas boas, ensino, paulo, justiça andré"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_26",0.837569679075251,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","pessoas falam, voz, instituto rio, formandos instituto, centenas, decisivos, trabalhem, sítio, minério, rio branco"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_27",0.830190160054592,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","icms, tá, cobra, preço, refinaria, km, fruticultura, cobrar icms, combustível, basta"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_28",0.986061069874283,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","paraguai, itaipu, cabo verde, binacional, brasil paraguai, itaipu binacional, presidente paraguai, visita, cabo, guiné"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_29",0.9766286250355,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","guerson, gente, centavos, paulo guedes, guedes, petrobras, pix, cara, paulo, tcu"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_30",0.831783870994561,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","ceará, iris, quero ir, caiado, aqui ceará, roraima, nesse estado, quero citar, deseducado, ninguém deseducado"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_31",0.940748314673309,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","italiana, origem italiana, protocolo pessoa, atlântico, pessoa importante, paraquedistas, paraquedista, joão pereira, brigada, senhor joão"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_32",0.798210066112808,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","colégio, colégio militar, professora, abril, escolas, escola, tá, militar, aluno, militares"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_33",0.782921091254895,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","abraham, educação, atender necessitados, regionais, planos, aprender coisas, regiões planos, cabeça branca, vilarejo, espera abraham"
"milei_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_34",0.845594931493871,"sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer","fausto, bb, daqui paulo, diesel, ida volta, endividou, cachorro quente, tá caro, vender cachorro, bb antecipa"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_0",0.9219750941429,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_1",0.91239157220771,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","deus, vida, vou, pessoas, onde, verdade, família, lá, tudo, deus coração"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_2",0.969361753493158,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","governador, barbalho, caixa, imposto, paraná, prezado, aqui, estado, todos, amigos"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_3",0.935616135983942,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","todos, minas gerais, gerais, tarcísio, minas, brasil, aqui, obviamente, estado, satisfação"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_4",0.958347831445142,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","exército, comandante, comandante exército, general, exército brasileiro, militar, pujol, senhores, forças, generais"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_5",0.935328104860827,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","cada, hoje, caiado, todos, paulo guedes, guedes, outro, liberdade, brasil hoje, dia"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_6",0.933346867217562,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","direitos, brasil, cubano, nações, deus, humanos, cubana, imprensa, nações unidas, unidas"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_7",0.938236496976004,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","tereza cristina, cristina, tereza, questão, inmetro, agricultura, então, coisa, verdade, passado"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_8",0.885038112351033,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","sacrifício própria, própria vida, servidor, vida, própria, forças, cadetes, 19 93, recebeu 19, servidores"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_9",0.954910427924445,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","mercosul, bloco, senhoras senhores, josé múcio, múcio, josé, senhoras, acordos, reformas, mario abdo"
"milei_speeches.rds_topic_2","bolsonaro_speeches.rds_topic_10",0.800357528715779,"si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina","piauí, mão santa, povo, parnaíba, tudo, brasil povo, grande, acima, nordeste, brasil"
